id,text,tags,label,c_label
1257954699086626819,Tell the government you demand the NHS be protected from being sold off in any trade deal with Trump 👇https://t.co/HV0hEwNaHQ,,news,other
1258315608543899650,AMAZON: Paw Patrol Beach Toys Set Backpack – GREAT DEAL! https://t.co/ojHyXUnASM,,ad,ad
1258302627911094272,"K media said Bodyfriend, the massage machine which @BTS_twt endorsed were sold more than 5000pcs during the straight holidays in Korea (4/30-5/5), the sales increased by 46% from the last year. Due to the flood of order, even the executives in company had to help the delivery. https://t.co/cRYcLypfar",,other,news
1258306629281427456,"RT #sapsHQ Mpumalanga #CITRobbery suspects sought by the #Hawks. Group of armed robbers robbed a cash delivery truck on 29 August 2019 in Kriel, Mpumalanga. Info-&gt; Captain Thembi-Nkosi Nkambule on 082 303 9872 or #CrimeStop. #Wanted MEhttps://t.co/bALaIkobKS https://t.co/3c6IFzGbgv",sapsHQ CITRobbery Hawks,ad,news
1258315621508550659,"600 Crates delivered to a customer in PH.The lockdown doesn't affect essentials,  so place your orders and we will deliver to your location.For now  we only deliver to Ph, Owerri and Aba, as time goes on we will… https://t.co/1nKOdM9t7m",,ad,ad
1258315625665040384,"On the phone at 8.59am to speak to business customer service , 39mins still in the queue - we just want a straight forward honest answer when the funds will clear so I can have an idea #bouncebackloan  @Barclays",bouncebackloan,other,other
1258315376393404417,Yo this lil fag you say some slick shit any “ tell zoe do it what he broke “ I told that ugly fag “ baby I’m a grown ass women baby don’t play with me are  Zoe”,,other,other
1258130324757848064,"When this is over, I declare a war on cosy. I don’t want any house hang-outs, no sofas, no dinners, no “really nice bottle of red”s. I want to be in pubs and on streets. I want horrible pints. I want to trawl up and down the streets of soho offering people 10p to “borrow a fag”.",,other,other
1258079083436609536,"Current Weather @ 2:00 PM the temp 4.7C, Humidity 80%, Wind Speed 25.8 km/h W, AVG Wind Speed 25.8 km/h, Max Gust Today 25.9 km/h, Barometer 98.0 kPa, Cur Rain Rate 0.00 mm/h, Today's Rain  0.0mm #weather #weatherforcast #nsweather #novascotia",weather weatherforcast nsweather novascotia,other,other
1258086635192946689,"Current Weather @ 2:30 PM the temp 4.7C, Humidity 80%, Wind Speed 25.8 km/h W, AVG Wind Speed 25.8 km/h, Max Gust Today 25.9 km/h, Barometer 98.0 kPa, Cur Rain Rate 0.00 mm/h, Today's Rain  0.0mm #weather #weatherforcast #nsweather #novascotia",weather weatherforcast nsweather novascotia,other,other
1258310220335460352,Weather Forcast for the northern part of Saxony:   North winds with  hot air bring easy success at midnight!,,ad,other
1258314709440229376,There is a growing tussle between #Australia and #China over #Coronavirus👈 #latestnews #breakingnews👆 #trendingnews #trendingtopic #latesttrend👈 https://t.co/kvxJp9wbfI,Australia China Coronavirus latestnews breakingnews trendingnews trendingtopic latesttrend,job,news
1258314027664474113,How to Stop Bill Gates – We Need Everyone to Write NOW! - https://t.co/zBlLxCeS8j#breakingnews #news #Latestnews #newsupdate #newsdesk #trendingnews#newspaper #instanews #headlines https://t.co/fP7Ddix9dW,breakingnews news Latestnews newsupdate newsdesk trendingnews newspaper instanews headlines,news,news
1258314207591727104,"India looks to lure more than 1,000 US firms out of China - https://t.co/iShFz3bnVf#breakingnews #news #Latestnews #newsupdate #newsdesk #trendingnews#newspaper #instanews #headlines https://t.co/9qxcNAGYsU",breakingnews news Latestnews newsupdate newsdesk trendingnews newspaper instanews headlines,news,news
1258315219962597378,The latest Pro-Bono Daily News! https://t.co/2w4BEWlsd1 Thanks to @NCBAorg @half_witt @levey_studio #biglaw #latestnews,biglaw latestnews,ad,ad
1258211451358998529,#BreakingNews In the middle of Australias most deadly #pandemic #DanAndrews threatened Australians with jail at the same time he allowed certain cultures to have weddings and hid #Covid_19 breakout in #cedermeats to protect a cultural group. #auspol #qanda #insiders #TheProjetTv https://t.co/XuqeY9Hd0V,BreakingNews pandemic DanAndrews,ad,news
1258315126689673216,#BREAKINGNEWS British Airways: BA flights will make 'meaningful return' in July say airline bosseshttps://t.co/0hnSYZ7oAg https://t.co/3sPG1OulfC,BREAKINGNEWS,news,news
1258247591625539585,#job #vacancy Postdoctoral Research Fellow in DNA and Spatial Analysis @UTwente @ITCAlumni @LibITC full-time (5 years with a possibility for extension): part of the BIOSPACE @ERC_Research ERC project.https://t.co/APlidObN1D Applications close: 24 May https://t.co/zaww3YPiyE,job vacancy,job,job
1258025616965853189,Senior Men’s National Coach VacancyLacrosse Scotland are looking to recruit a highly capable and enthusiastic National Coach for the Senior Men’s team with immediate effect.https://t.co/MNJbfoOsjp,,job,job
1258125996882038787,It's never been easier!#staysafe #thankyou #millennialstrucking #trucking #trucks #truckerslife #truckers #wearehiring #findjob #country #jobs #work #usatrucks #truckdrivers #trucker #usaroads #hiring https://t.co/2m15Jogr0O,staysafe thankyou millennialstrucking trucking trucks truckerslife truckers wearehiring findjob country jobs work usatrucks truckdrivers trucker usaroads hiring,job,job
1258242342269714432,“Just one small positive thought in the morning can change your whole day.”t.” —Dalai Lama#jobs #jobseekers #career #jobboard #vacancy #careeradvice #north #east #srilanka #seekforjob #jobportalwebsite #findjob #jobs_in_north_and_east https://t.co/ng2JQVWNa7,jobs jobseekers career jobboard vacancy careeradvice north east srilanka seekforjob jobportalwebsite findjob jobs_in_north_and_east,job,other
1258306400335380480,🇪🇺📢#WeAreHiring@EU_SRB recently published two vacancies for General Counsel (AD12) and Head of SRB Secretariat (AD10).Find more info➡️https://t.co/jyui8iynjC#EUvacancies #EUjobs #SRBjobs https://t.co/OKHStWfbSB,WeAreHiring,job,job
1258311492815872000,"In @TheWeek's latest story on companies bucking up the trend of salary hikes and hiring, Aftab Ullah @aftabzu talks about the increase in productivity and people engagement since the lockdown and #Brillio's hiring plans in India.https://t.co/qzkznuwBWH#brillio #wearehiring",Brillio brillio wearehiring,job,news
1258040274913308674,"We are looking for You🙋‍♀️🙋‍♂️a Quality Specialist with a min. of 2 years working experience &amp; strong analytical abilities. If you are based in the UK (home-office) &amp; are a self-motivated team worker, we encourage you to apply now 👉https://t.co/oGW3Vn2vBS👈#fulltime #Career https://t.co/GR3Rs7wpUm",,ad,job
